,Location,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,state,city,Asian/NHPI Alone and in Combination
834,"Syracuse, NY Metro Area",662057.0,31861.0,598881.0,31315.0,528467.117,62214.15,23756.233,6299.65,9060.633,398.217,NY,Syracuse,24154.45
835,"Tahlequah, OK Micro Area",47078.0,3437.0,36963.0,6678.0,23369.083,815.083,395.917,230.167,18795.583,35.167,OK,Tahlequah,431.08399999999995
836,"Talladega-Sylacauga, AL Micro Area",82149.0,1779.0,77884.0,2486.0,51862.633,26855.55,478.3,363.033,763.05,47.433,AL,Talladega-Sylacauga,525.7330000000001
837,"Tallahassee, FL Metro Area",384298.0,30242.0,339367.0,14689.0,212720.6,122399.067,12323.717,2824.983,3439.383,348.25,FL,Tallahassee,12671.967
838,"Tampa-St. Petersburg-Clearwater, FL Metro Area",3175275.0,652022.0,2395243.0,128010.0,1945871.933,378481.567,136644.2,33512.733,25094.95,3647.617,FL,Tampa-St. Petersburg-Clearwater,140291.817
839,"Taos, NM Micro Area",34489.0,17430.0,16140.0,919.0,14126.5,203.95,267.867,412.7,2019.45,28.533,NM,Taos,296.40000000000003
840,"Taylorville, IL Micro Area",34032.0,1094.0,31905.0,1033.0,31726.667,475.5,222.667,204.5,301.5,7.167,IL,Taylorville,229.834
841,"Terre Haute, IN Metro Area",185031.0,4426.0,173667.0,6938.0,165219.1,9439.517,2569.6,1337.833,1931.35,107.6,IN,Terre Haute,2677.2
842,"Texarkana, TX-AR Metro Area",147519.0,9594.0,131051.0,6874.0,95215.183,37432.767,1548.517,964.683,2628.1,135.75,AR,Texarkana,1684.267
843,"The Dalles, OR Micro Area",26670.0,5017.0,20344.0,1309.0,19318.017,179.933,340.933,272.167,1300.183,241.767,OR,The Dalles,582.7
844,"The Villages, FL Metro Area",129752.0,7583.0,119426.0,2743.0,110516.817,8620.4,1379.15,702.083,887.15,63.4,FL,The Villages,1442.5500000000002
845,"Thomaston, GA Micro Area",27700.0,633.0,26181.0,886.0,18424.333,8040.75,187.083,156.417,251.5,6.917,GA,Thomaston,194.0
846,"Thomasville, GA Micro Area",45798.0,1577.0,42942.0,1279.0,26562.583,16525.917,465.583,212.833,436.917,17.167,GA,Thomasville,482.75
847,"Tiffin, OH Micro Area",55069.0,2899.0,50146.0,2024.0,49183.983,1702.65,453.583,323.4,461.483,44.9,OH,Tiffin,498.483
848,"Tifton, GA Micro Area",41344.0,5219.0,35037.0,1088.0,22687.833,12307.167,715.5,156.667,254.333,3.5,GA,Tifton,719.0
849,"Toccoa, GA Micro Area",26784.0,857.0,24642.0,1285.0,21922.0,3180.167,264.083,169.75,373.917,17.083,GA,Toccoa,281.16600000000005
850,"Toledo, OH Metro Area",646604.0,46297.0,571447.0,28860.0,483932.917,93209.1,11861.517,5191.517,5814.083,297.867,OH,Toledo,12159.384
851,"Topeka, KS Metro Area",233152.0,25832.0,193840.0,13480.0,179901.733,16232.9,3236.567,1553.5,6065.9,329.4,KS,Topeka,3565.967
852,"Torrington, CT Micro Area",185186.0,14580.0,163254.0,7352.0,159081.383,3766.05,4002.133,2238.167,1410.55,107.717,CT,Torrington,4109.849999999999
853,"Traverse City, MI Micro Area",153448.0,4673.0,142511.0,6264.0,141466.75,1196.0,1414.317,1363.333,3216.667,117.933,MI,Traverse City,1532.25
854,"Trenton-Princeton, NJ Metro Area",387340.0,84177.0,291686.0,11477.0,173300.75,74714.583,50136.55,3247.717,1502.417,260.983,NJ,Trenton-Princeton,50397.533
855,"Troy, AL Micro Area",33009.0,905.0,30976.0,1128.0,18539.917,12323.417,648.083,161.833,410.083,20.667,AL,Troy,668.75
856,"Truckee-Grass Valley, CA Micro Area",102241.0,10416.0,86028.0,5797.0,85590.6,674.35,2002.683,1373.85,1919.333,264.183,CA,Truckee-Grass Valley,2266.866
857,"Tucson, AZ Metro Area",1043433.0,372788.0,633230.0,37415.0,553818.867,41051.783,35262.867,8568.333,29239.533,2703.617,AZ,Tucson,37966.484
858,"Tullahoma-Manchester, TN Micro Area",107124.0,4862.0,97748.0,4514.0,94019.65,4816.65,1176.65,742.45,1423.117,83.483,TN,Tullahoma-Manchester,1260.133
859,"Tulsa, OK Metro Area",1015331.0,118902.0,789185.0,107244.0,647791.633,89480.217,31859.383,6792.217,118779.133,1726.417,OK,Tulsa,33585.8
860,"Tupelo, MS Micro Area",163398.0,5665.0,153257.0,4476.0,120082.233,34392.567,1279.083,682.317,1239.733,57.067,MS,Tupelo,1336.15
861,"Tuscaloosa, AL Metro Area",268674.0,13561.0,247733.0,7380.0,155524.567,92177.067,3883.567,1336.283,2026.65,164.867,AL,Tuscaloosa,4048.434
862,"Twin Falls, ID Metro Area",114283.0,24386.0,86034.0,3863.0,84192.117,1276.45,1846.783,842.667,1436.617,302.367,ID,Twin Falls,2149.15
863,"Tyler, TX Metro Area",233479.0,47281.0,178102.0,8096.0,138202.833,39287.417,4630.0,1343.583,2589.417,144.75,TX,Tyler,4774.75
864,"Ukiah, CA Micro Area",91601.0,23933.0,62772.0,4896.0,58497.433,911.6,2142.433,1171.017,4736.483,209.033,CA,Ukiah,2351.466
865,"Union, SC Micro Area",27244.0,438.0,25900.0,906.0,17678.483,8694.65,108.317,99.867,209.067,15.617,SC,Union,123.934
866,"Union City, TN Micro Area",30787.0,1574.0,28093.0,1120.0,25264.917,3379.417,128.5,153.667,278.583,7.917,TN,Union City,136.417
867,"Urbana, OH Micro Area",38714.0,648.0,36347.0,1719.0,36131.183,970.35,188.017,268.267,488.5,19.683,OH,Urbana,207.7
868,"Urban Honolulu, HI Metro Area",1016508.0,92322.0,725649.0,198537.0,236649.867,24951.267,499031.617,5551.567,6873.383,151128.3,HI,Urban Honolulu,650159.917
869,"Utica-Rome, NY Metro Area",292264.0,16721.0,263759.0,11784.0,241202.083,17559.667,11643.333,2636.633,2319.833,181.45,NY,Utica-Rome,11824.783000000001
870,"Uvalde, TX Micro Area",24564.0,17317.0,6975.0,272.0,6737.833,124.167,168.0,111.5,91.0,14.5,TX,Uvalde,182.5
871,"Valdosta, GA Metro Area",148126.0,10490.0,132325.0,5311.0,79574.767,53085.85,2495.183,930.867,1332.767,216.567,GA,Valdosta,2711.75
872,"Vallejo, CA Metro Area",453491.0,128155.0,294516.0,30820.0,167102.133,65124.633,77859.05,4880.15,4746.817,5623.217,CA,Vallejo,83482.267
873,"Van Wert, OH Micro Area",28931.0,1097.0,26941.0,893.0,26892.917,393.167,132.25,167.75,225.833,22.083,OH,Van Wert,154.333
874,"Vermillion, SD Micro Area",14967.0,458.0,13845.0,664.0,12979.95,316.783,407.7,87.867,710.417,6.283,SD,Vermillion,413.983
875,"Vernal, UT Micro Area",35620.0,2834.0,31463.0,1323.0,29348.183,167.683,245.233,250.117,2632.933,141.85,UT,Vernal,387.08299999999997
876,"Vernon, TX Micro Area",12887.0,3734.0,8719.0,434.0,7212.75,1090.417,584.833,64.75,195.75,4.5,TX,Vernon,589.333
877,"Vicksburg, MS Micro Area",44722.0,876.0,42729.0,1117.0,21402.667,21504.167,450.167,206.167,281.167,1.667,MS,Vicksburg,451.83399999999995
878,"Victoria, TX Metro Area",98331.0,45219.0,50971.0,2141.0,44590.167,5771.583,1527.333,497.0,676.333,49.583,TX,Victoria,1576.9160000000002
879,"Vidalia, GA Micro Area",35640.0,3615.0,31153.0,872.0,22082.0,9307.667,271.167,142.833,211.333,10.0,GA,Vidalia,281.167
880,"Vincennes, IN Micro Area",36282.0,1005.0,34190.0,1087.0,33551.183,837.433,318.183,227.167,315.183,27.85,IN,Vincennes,346.033
881,"Vineland-Bridgeton, NJ Metro Area",154152.0,53054.0,95746.0,5352.0,68007.933,27700.933,2271.767,1107.967,1951.267,58.133,NJ,Vineland-Bridgeton,2329.8999999999996
882,"Vineyard Haven, MA Micro Area",20600.0,534.0,18121.0,1945.0,17082.067,987.983,261.65,1389.333,317.067,27.9,MA,Vineyard Haven,289.54999999999995
883,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1799674.0,134850.0,1565451.0,99373.0,983190.1,554865.25,86262.533,16413.817,19615.65,4476.65,VA,Virginia Beach-Norfolk-Newport News,90739.18299999999
884,"Visalia, CA Metro Area",473117.0,309895.0,152452.0,10770.0,129953.35,6189.483,17378.4,3188.267,5712.35,800.15,CA,Visalia,18178.550000000003
885,"Wabash, IN Micro Area",30976.0,897.0,29154.0,925.0,29081.983,258.067,198.317,147.083,374.567,18.983,IN,Wabash,217.3
886,"Waco, TX Metro Area",277547.0,72552.0,195379.0,9616.0,152874.817,41412.733,5651.067,1935.9,2863.9,256.583,TX,Waco,5907.65
887,"Wahpeton, ND-MN Micro Area",23035.0,785.0,21516.0,734.0,20980.0,258.167,170.333,107.333,705.5,28.667,MN,Wahpeton,199.0
888,"Walla Walla, WA Metro Area",62584.0,14206.0,45311.0,3067.0,43954.667,1198.25,1308.917,643.417,999.417,273.333,WA,Walla Walla,1582.25
889,"Wapakoneta, OH Micro Area",46422.0,781.0,44303.0,1338.0,44280.75,394.75,305.5,204.583,405.25,50.167,OH,Wapakoneta,355.66700000000003
890,"Warner Robins, GA Metro Area",191614.0,14354.0,168893.0,8367.0,101952.417,65883.417,6086.333,1317.0,1784.667,236.167,GA,Warner Robins,6322.5
891,"Warren, PA Micro Area",38587.0,415.0,36741.0,1431.0,37006.167,230.5,221.167,338.5,363.0,12.667,PA,Warren,233.834
892,"Warrensburg, MO Micro Area",54013.0,2595.0,48217.0,3201.0,45937.367,2697.2,1079.117,460.833,982.617,260.867,MO,Warrensburg,1339.984
893,"Warsaw, IN Micro Area",80240.0,7492.0,70389.0,2359.0,69136.5,930.167,1483.0,458.0,702.667,37.667,IN,Warsaw,1520.667
894,"Washington, IN Micro Area",33381.0,2103.0,30581.0,697.0,30030.25,742.583,176.083,148.667,165.417,15.0,IN,Washington,191.083
895,"Washington, NC Micro Area",44652.0,3433.0,40018.0,1201.0,29965.167,10465.833,218.917,222.583,323.25,23.25,NC,Washington,242.167
896,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6385162.0,1094950.0,4989396.0,300816.0,2828460.317,1594137.483,752526.55,68716.367,38768.533,7602.75,MD,Washington-Arlington-Alexandria,760129.3
897,"Washington Court House, OH Micro Area",28951.0,681.0,27094.0,1176.0,26817.45,753.783,210.083,172.117,290.783,25.783,OH,Washington Court House,235.86599999999999
898,"Waterloo-Cedar Falls, IA Metro Area",168461.0,7104.0,155316.0,6041.0,139182.667,15174.25,4079.75,935.0,1079.667,905.667,IA,Waterloo-Cedar Falls,4985.417
899,"Watertown, SD Micro Area",34489.0,1027.0,32585.0,877.0,31931.833,175.917,273.75,136.917,928.583,15.0,SD,Watertown,288.75
900,"Watertown-Fort Atkinson, WI Micro Area",84900.0,7068.0,75262.0,2570.0,74570.417,1126.75,841.5,623.667,620.833,48.833,WI,Watertown-Fort Atkinson,890.333
901,"Watertown-Fort Drum, NY Metro Area",116721.0,7990.0,102473.0,6258.0,95645.767,7197.933,2563.35,1433.583,1521.85,368.517,NY,Watertown-Fort Drum,2931.8669999999997
902,"Wauchula, FL Micro Area",25327.0,10604.0,14242.0,481.0,12099.583,2196.417,185.583,75.833,158.917,6.667,FL,Wauchula,192.25
903,"Wausau-Weston, WI Metro Area",166428.0,4982.0,156414.0,5032.0,147932.633,1838.05,9027.467,987.283,1571.6,88.967,WI,Wausau-Weston,9116.434000000001
904,"Waycross, GA Micro Area",55967.0,2610.0,51686.0,1671.0,39446.533,12679.367,478.533,275.517,447.767,29.283,GA,Waycross,507.81600000000003
905,"Weatherford, OK Micro Area",28513.0,5384.0,21320.0,1809.0,19319.167,941.0,360.5,154.0,2337.0,17.333,OK,Weatherford,377.83299999999997
906,"Weirton-Steubenville, WV-OH Metro Area",116903.0,1870.0,109604.0,5429.0,106430.967,5547.133,686.217,1145.933,1161.383,61.367,WV,Weirton-Steubenville,747.584
907,"Wenatchee, WA Metro Area",122012.0,36741.0,80595.0,4676.0,79783.25,598.083,1669.167,1200.417,1731.667,288.417,WA,Wenatchee,1957.5839999999998
908,"West Plains, MO Micro Area",39750.0,896.0,36760.0,2094.0,37003.417,272.917,281.5,311.583,954.417,30.167,MO,West Plains,311.66700000000003
909,"West Point, MS Micro Area",18636.0,186.0,18111.0,339.0,7342.833,10871.667,65.167,68.333,98.0,4.0,MS,West Point,69.167
910,"Wheeling, WV-OH Metro Area",139513.0,1825.0,132061.0,5627.0,129450.383,4852.717,928.05,1082.483,1307.467,66.9,WV,Wheeling,994.9499999999999
911,"Whitewater, WI Micro Area",106478.0,12550.0,90779.0,3149.0,89625.917,1452.917,1235.833,797.833,784.917,30.583,WI,Whitewater,1266.4160000000002
912,"Wichita, KS Metro Area",647610.0,91517.0,518890.0,37203.0,456843.883,53228.717,26301.383,4829.417,13928.55,961.05,KS,Wichita,27262.433
913,"Wichita Falls, TX Metro Area",148128.0,27186.0,113959.0,6983.0,99228.967,14493.367,3213.9,1037.567,2736.133,232.067,TX,Wichita Falls,3445.967
914,"Williamsport, PA Metro Area",114188.0,2374.0,106883.0,4931.0,102023.867,6631.2,1142.7,886.783,1069.7,59.75,PA,Williamsport,1202.45
915,"Williston, ND Micro Area",40950.0,3897.0,34801.0,2252.0,31844.417,2201.917,737.583,345.333,1796.25,127.5,ND,Williston,865.083
916,"Willmar, MN Micro Area",43732.0,5916.0,36757.0,1059.0,33809.417,2716.667,652.417,301.583,285.25,50.667,MN,Willmar,703.0840000000001
917,"Wilmington, NC Metro Area",285905.0,22282.0,252152.0,11471.0,216816.567,36311.65,4813.733,2253.5,3081.733,345.817,NC,Wilmington,5159.55
918,"Wilmington, OH Micro Area",42018.0,765.0,39538.0,1715.0,39061.667,1114.167,278.833,314.833,463.833,19.667,OH,Wilmington,298.5
919,"Wilson, NC Micro Area",78784.0,9024.0,67354.0,2406.0,37082.95,30521.7,1049.783,410.667,662.45,32.45,NC,Wilson,1082.233
920,"Winchester, VA-WV Metro Area",142632.0,15821.0,120906.0,5905.0,113806.0,7612.833,2861.417,1131.167,1293.583,106.0,WV,Winchester,2967.417
921,"Winfield, KS Micro Area",34549.0,3971.0,28469.0,2109.0,27239.033,1107.4,585.15,202.367,1235.65,208.4,KS,Winfield,793.55
922,"Winnemucca, NV Micro Area",17285.0,4511.0,12117.0,657.0,11338.533,175.0,206.783,270.867,742.2,40.617,NV,Winnemucca,247.39999999999998
923,"Winona, MN Micro Area",49671.0,1889.0,46211.0,1571.0,44918.0,1118.5,1078.583,327.083,315.917,23.917,MN,Winona,1102.5
924,"Winston-Salem, NC Metro Area",675966.0,77803.0,573900.0,24263.0,453241.833,119332.45,13789.95,4214.783,7087.2,496.783,NC,Winston-Salem,14286.733
925,"Wisconsin Rapids-Marshfield, WI Micro Area",74207.0,2376.0,69752.0,2079.0,68055.083,812.833,1513.25,441.5,954.083,54.25,WI,Wisconsin Rapids-Marshfield,1567.5
926,"Woodward, OK Micro Area",24219.0,3346.0,19736.0,1137.0,19116.5,451.0,175.75,148.167,965.75,15.833,OK,Woodward,191.583
927,"Wooster, OH Micro Area",116894.0,2755.0,110092.0,4047.0,108866.75,2319.583,1129.583,723.417,1034.0,65.667,OH,Wooster,1195.25
928,"Worcester, MA-CT Metro Area",978529.0,126361.0,809002.0,43166.0,722987.383,51479.217,51684.05,18902.083,6611.55,503.717,MA,Worcester,52187.767
929,"Worthington, MN Micro Area",22290.0,7271.0,14603.0,416.0,12336.667,1031.667,1402.0,80.5,121.167,47.0,MN,Worthington,1449.0
930,"Yakima, WA Metro Area",256728.0,130049.0,118704.0,7975.0,107291.533,2330.017,3506.1,1879.317,11285.5,386.533,WA,Yakima,3892.633
931,"Yankton, SD Micro Area",23310.0,1234.0,21324.0,752.0,20547.917,396.833,157.083,119.5,841.75,12.917,SD,Yankton,170.0
932,"Yauco, PR Metro Area",86142.0,85665.0,436.0,41.0,344.0,47.333,26.167,49.167,5.333,5.0,0,Yauco,31.167
933,"York-Hanover, PA Metro Area",456438.0,39360.0,400204.0,16874.0,373269.25,28867.583,7793.25,3342.0,3562.667,243.25,PA,York-Hanover,8036.5
934,"Youngstown-Warren-Boardman, OH-PA Metro Area",541243.0,19881.0,498903.0,22459.0,446255.017,61097.017,4673.85,4370.717,4726.433,238.967,OH,Youngstown-Warren-Boardman,4912.817
935,"Yuba City, CA Metro Area",181208.0,55088.0,114935.0,11185.0,88173.683,5683.183,25033.083,1984.033,4295.5,950.517,CA,Yuba City,25983.6
936,"Yuma, AZ Metro Area",203881.0,130003.0,69653.0,4225.0,63051.567,3910.983,2772.483,1193.35,2610.167,339.45,AZ,Yuma,3111.933
937,"Zanesville, OH Micro Area",86410.0,1055.0,80840.0,4515.0,79080.95,4102.117,488.45,691.333,965.95,26.2,OH,Zanesville,514.65
938,"Zapata, TX Micro Area",13889.0,12999.0,844.0,46.0,814.75,12.917,20.75,22.5,16.167,2.917,TX,Zapata,23.667
939,United States,331449281.0,62080044.0,255820254.0,13548983.0,197642570.867,42004368.717,21297276.083,3109051.95,4383072.0,932897.383,US Total,United States,22230173.466000002
